--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:12:24.037   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:24.380   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:24.669   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:24.833   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:24.998   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:25.044   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:25.146   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:25.177   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:25.287   416   651 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:25.349   416   651 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:25.505   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:25.560   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:25.685   416   652 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:25.748   416   652 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:25.857   416   428 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:25.896   416   428 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:25.990   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
